State,Name,Party,Since
Alabama,Kay Ivey,Republican,10-Apr-17
Alaska,Mike Dunleavy,Republican,3-Dec-18
Arizona,Doug Ducey,Republican,5-Jan-15
Arkansas,Asa Hutchinson,Republican,13-Jan-15
California,Gavin Newsom,Democratic,2019
Colorado,Jared Polis,Democratic,2019
Connecticut,Ned Lamont,Democratic,2019
Delaware,John C. Carney Jr.,Democratic,17-Jan-17
Florida,Ron DeSantis,Republican,8-Jan-19
Georgia,Brian Kemp,Republican,14-Jan-19
Hawaii,David Ige,Democratic,1-Dec-14
Idaho,Brad Little,Republican,2019
Illinois,J.B. Pritzker,Democratic,2019
Indiana,Eric Holcomb,Republican,9-Jan-17
Iowa,Kim Reynolds,Republican,24-May-17
Kansas,Laura Kelly,Democratic,14-Jan-19
Kentucky,Andy Beshear,Democratic,10-Dec-19
Louisiana,John Bel Edwards,Democratic,11-Jan-16
Maine,Janet T. Mills,Democratic,2-Jan-19
Maryland,Larry Hogan,Republican,21-Jan-15
Massachusetts,Charles D. Baker,Republican,8-Jan-15
Michigan,Gretchen Whitmer,Democratic,1-Jan-19
Minnesota,Tim Walz,Democratic,7-Jan-19
Mississippi,Tate Reeves,Republican,14-Jan-20
Missouri,Mike Parson,Republican,1-Jun-18
Montana,Steve Bullock,Democratic,7-Jan-13
Nebraska,Pete Ricketts,Republican,8-Jan-15
Nevada,Steve Sisolak,Democratic,2019
New Hampshire,Chris Sununu,Republican,5-Jan-17
New Jersey,Phil Murphy,Democratic,2018
New Mexico,Michelle Lujan Grisham,Democratic,1-Jan-19
New York,Andrew Cuomo,Democratic,1-Jan-11
North Carolina,Roy Cooper,Democratic,1-Jan-17
North Dakota,Doug Burgum,Republican,15-Dec-16
Ohio,Richard Michael DeWine,Republican,14-Jan-19
Oklahoma,Kevin Stitt,Republican,14-Jan-19
Oregon,Kate Brown,Democratic,2015
Pennsylvania,Tom Wolf,Democratic,20-Jan-15
Rhode Island,Gina Raimondo,Democratic,6-Jan-15
South Carolina,Henry McMaster,Republican,24-Jan-17
South Dakota,Kristi L. Noem,Republican,2019
Tennessee,Bill Lee,Republican,15-Jan-19
Texas,Greg Abbott,Republican,2015
Utah,Gary Herbert,Republican,11-Aug-09
Vermont,Phil Scott,Republican,5-Jan-17
Virginia,Ralph Northam,Democratic,10-Jan-18
Washington,Jay Inslee,Democratic,16-Jan-13
West Virginia,Jim Justice,Republican,16-Jan-17
Wisconsin,Tony Evers,Democratic,2019
Wyoming,Mark Gordon,Republican,2019
